0	0	0	306.739	116.504
1	0	0	380.683	118.263
2	0	0	458.027	119.799
3	0	0	528.443	121.211
4	0	0	603.06	122.06
5	0	0	671.157	122.593
6	0	0	743.754	122.71
7	0	0	810.983	123.218
8	0	0	882.663	123.331
9	0	0	948.927	123.508
0	1	0	307.63	188.188
1	1	0	382.957	190.507
2	1	0	457.614	191.221
9	1	0	951.022	192.26
4	1	0	602.492	192.304
5	1	0	673.344	192.539
6	1	0	743.072	192.624
7	1	0	813.04	192.551
8	1	0	881.973	192.469
3	1	0	530.548	192.015
6	2	0	743.96	262.948
8	2	0	882.865	262.401
9	2	0	951.999	261.98
1	2	0	383.791	263.523
3	2	0	531.187	263.487
4	2	0	603.274	263.285
5	2	0	674.076	263.149
7	2	0	813.819	262.673
0	2	0	308.614	264.706
2	2	0	458.172	263.452
9	3	0	952.651	331.752
8	3	0	883.307	332.464
5	3	0	674.752	334.171
3	3	0	531.871	335.478
6	3	0	744.624	333.644
7	3	0	814.3	333.012
0	3	0	309.655	335.656
1	3	0	384.765	336.578
2	3	0	458.964	335.894
4	3	0	603.909	334.874
8	4	0	883.741	402.706
9	4	0	952.943	401.893
6	4	0	744.822	404.211
7	4	0	814.678	403.454
5	4	0	674.932	405.141
4	4	0	604.186	406.208
2	4	0	459.727	408.201
3	4	0	532.336	407.286
1	4	0	385.424	409.462
0	4	0	310.567	411.965
9	5	0	952.769	471.05
7	5	0	814.683	473.045
8	5	0	883.64	472.022
6	5	0	744.844	474.082
5	5	0	675.064	475.36
3	5	0	532.884	478.158
4	5	0	604.53	476.672
2	5	0	460.235	479.724
0	5	0	311.447	481.997
1	5	0	386.007	481.65
8	6	0	884.143	541.964
9	6	0	953.141	540.717
6	6	0	745.118	544.433
7	6	0	814.97	543.062
5	6	0	675.49	545.991
4	6	0	604.938	547.686
2	6	0	460.461	551.787
3	6	0	533.167	549.799
1	6	0	386.191	554.143
0	6	0	311.645	557.665
9	7	0	952.658	610.318
8	7	0	886.338	611.494
7	7	0	814.609	613.094
6	7	0	747.205	614.779
5	7	0	674.845	616.814
4	7	0	606.65	618.886
3	7	0	532.178	621.506
2	7	0	461.65	623.877
1	7	0	384.831	627.239
0	7	0	311.426	629.977

